Commune,Population ayant un emploi au total,dont: Salari?s,dont: Non-Salari?s,Ch?meurs,Population active,Taux de ch?mage (en %)
Grand-Duch? de Luxembourg,233130,212530,20600,18806,251936,7.46459418264956
Canton Capellen,18310,16430,1880,988,19298,5.11970152347394
Dippach,1780,1620,160,106,1886,5.6203605514316
Garnich,870,780,90,29,899,3.2258064516129
Hobscheid,1470,1350,120,73,1543,4.73104342190538
K?erjeng,4130,3820,310,260,4390,5.92255125284738
Kehlen,2170,1910,260,80,2250,3.55555555555556
Koerich,1050,920,130,41,1091,3.75802016498625
Kopstal,1300,1100,200,72,1372,5.24781341107872
Mamer,3140,2770,370,169,3309,5.10728316711998
Septfontaines,370,320,50,26,396,6.56565656565657
Steinfort,2030,1840,190,132,2162,6.1054579093432
Canton Esch,69330,65230,4100,7076,76406,9.26105279690077
Bettembourg,4280,3970,310,308,4588,6.71316477768091
Differdange,10210,9800,410,1317,11527,11.4253491801857
Dudelange,8240,7760,480,768,9008,8.52575488454707
Esch-sur-Alzette,13310,12600,710,2031,15341,13.2390326575843
Frisange,2000,1830,170,120,2120,5.66037735849057
Kayl,3680,3480,200,300,3980,7.53768844221106
Leudelange,1130,980,150,41,1171,3.50128095644748
Mondercange,2730,2470,260,136,2866,4.74528960223308
P?tange,7290,6920,370,725,8015,9.0455396132252
Reckange-sur-Mess,980,850,130,32,1012,3.16205533596838
Roeser,2750,2510,240,140,2890,4.84429065743945
Rumelange,2130,2030,100,269,2399,11.2130054189246
Sanem,6600,6230,370,512,7112,7.19910011248594
Schifflange,4000,3800,200,377,4377,8.61320539182088
Canton Luxembourg,66140,59310,6830,5000,71140,7.02839471464717
Bertrange,2970,2620,350,168,3138,5.35372848948375
Contern,1420,1270,150,69,1489,4.63398253861652
Hesperange,6160,5550,610,383,6543,5.85358398288247
Luxembourg,41650,37510,4140,3571,45221,7.89677362287433
Niederanven,1920,1600,320,93,2013,4.61997019374069
Sandweiler,1380,1240,140,75,1455,5.15463917525773
Schuttrange,1440,1270,170,70,1510,4.63576158940397
Steinsel,1950,1740,210,107,2057,5.20175012153622
Strassen,3190,2850,340,202,3392,5.95518867924528
Walferdange,3110,2790,320,226,3336,6.77458033573141
Weiler-la-Tour,950,870,80,36,986,3.65111561866126
Canton Mersch,13440,12400,1040,799,14239,5.61134911159492
Bissen,1310,1230,80,81,1391,5.82314881380302
Boevange-sur-Attert,1000,900,100,39,1039,3.75360923965351
Colmar-Berg,960,910,50,62,1022,6.0665362035225
Fischbach,590,530,60,26,616,4.22077922077922
Heffingen,580,520,60,21,601,3.49417637271215
Larochette,950,880,70,80,1030,7.76699029126214
Lintgen,1320,1230,90,82,1402,5.84878744650499
Lorentzweiler,1460,1340,120,72,1532,4.69973890339426
Mersch,3950,3690,260,272,4222,6.44244433917575
Nommern,630,550,80,32,662,4.83383685800604
Tuntange,690,620,70,32,722,4.43213296398892
Canton Clervaux,7620,6630,990,604,8224,7.3443579766537
Clervaux,2130,1890,240,217,2347,9.24584576054538
Parc Hosingen,1490,1340,150,101,1591,6.34820867379007
Troisvierges,1360,1200,160,113,1473,7.6714188730482
Weiswampach,780,670,110,65,845,7.69230769230769
Wincrange,1860,1530,330,108,1968,5.48780487804878
Canton Diekirch,13370,12290,1080,1247,14617,8.53116234521448
Bettendorf,1130,1040,90,90,1220,7.37704918032787
Bourscheid,710,630,80,71,781,9.09090909090909
Diekirch,2760,2560,200,277,3037,9.12084293710899
Erpeldange-sur-S?re,1020,930,90,62,1082,5.73012939001848
Ettelbruck,3390,3140,250,441,3831,11.5113547376664
Feulen,880,810,70,54,934,5.78158458244111
Mertzig,930,870,60,48,978,4.9079754601227
Reisdorf,480,430,50,69,549,12.568306010929
Schieren,890,830,60,59,949,6.21707060063224
Vall?e de l'Ernz,1180,1050,130,76,1256,6.05095541401274
Canton Redange,7700,6820,880,494,8194,6.02880156211862
Beckerich,1030,930,100,54,1084,4.98154981549815
Ell,560,490,70,25,585,4.27350427350427
Grosbous,470,420,50,40,510,7.84313725490196
Pr?izerdaul,740,670,70,37,777,4.76190476190476
Rambrouch,1690,1440,250,160,1850,8.64864864864865
Redange-sur-Attert,1110,990,120,57,1167,4.88431876606684
Saeul,330,290,40,19,349,5.44412607449857
Useldange,800,720,80,37,837,4.4205495818399
