"name","first_release","versions","archived","index"
"ABC.RAP",NA,0,FALSE,1
"ABCExtremes",NA,0,TRUE,2
"ABCanalysis",NA,0,TRUE,3
"ABCoptim",NA,1,TRUE,4
"ABCp2",NA,1,TRUE,5
"ABHgenotypeR",NA,1,TRUE,6
"ACA",NA,0,FALSE,7
"ACCLMA",NA,0,FALSE,8
"ACD",NA,0,TRUE,9
"ACDm",NA,1,TRUE,10
"ACEt",NA,0,TRUE,11
"ACMEeqtl",NA,0,FALSE,12
"ACNE",NA,0,TRUE,13
"ACSNMineR",NA,1,TRUE,14
"ACTCD",NA,0,TRUE,15
"ADDT",NA,1,TRUE,16
"ADGofTest",NA,0,TRUE,17
"ADM3",NA,0,TRUE,18
"ADMMnet",NA,0,FALSE,19
"ADPclust",NA,0,TRUE,20
"ADaCGH",NA,0,TRUE,21
"AEDForecasting",NA,1,TRUE,22
"AER",NA,1,TRUE,23
"AF",NA,1,TRUE,24
"AFLPsim",NA,1,TRUE,25
"AFM",NA,1,TRUE,26
"AGD",NA,0,TRUE,27
"AGSDest",NA,1,TRUE,28
"AHMbook",NA,0,TRUE,29
"AHR",NA,1,TRUE,30
"AICcmodavg",NA,1,TRUE,31
"AID",NA,1,TRUE,32
"AIG",NA,1,TRUE,33
"AIGIS",NA,0,TRUE,34
"AIS",NA,0,TRUE,35
"ALA4R",NA,1,TRUE,36
"ALDqr",NA,1,TRUE,37
"ALKr",NA,1,TRUE,38
"ALS",NA,1,TRUE,39
"ALSM",NA,0,TRUE,40
"ALTopt",NA,1,TRUE,41
"AMA",NA,0,TRUE,42
"AMCP",NA,1,TRUE,43
"AMCTestmakeR",NA,0,FALSE,44
"AMModels",NA,1,TRUE,45
"AMOEBA",NA,1,TRUE,46
"AMORE",NA,1,TRUE,47
"ANN",NA,0,TRUE,48
"ANOM",NA,1,TRUE,49
"ANOVAreplication",NA,1,TRUE,50
"AOfamilies",NA,0,TRUE,51
"APML0",NA,0,TRUE,52
